Prefix,Device Row Type,Notes
2400:d960:800::/64,For Edge devices,Sliced into /128s per device
2400:d960:800:1::/64,For L3 Dist switches,Sliced into /128s per device
2400:d960:800:2::/64,For Transport Switches,Sliced into /128s per device
2400:d960:800:3::/64,For Future NAT/QoE (three tier architecture) devices,Sliced into /128s per device
2400:d960:800:4::/64,For BNGs,Sliced into /128s per device
2400:d960:800:5::/64,For Future dedicated P routers,Sliced into /128s per device
2400:d960:800:6::/64,For Future dedicated PE routers,Sliced into /128s per device
2400:d960:800:7::/64,For OLTs,Sliced into /128s per device
2400:d960:800:8::/64,For Wireless AP/Radio,Sliced into /128s per device
2400:d960:800:9::/64,Reserved,Sliced into /128s per device
2400:d960:800:a::/64,Reserved,Sliced into /128s per device
Etc,Etc,Etc