Prefix,State/UT,Notes
2400:d960::/40,Chandigarh,Sliced into /44 per site
2400:d960:100::/40,Reserved for Chandigarh,
2400:d960:200::/40,Reserved for Chandigarh,
2400:d960:300::/40,Reserved for Chandigarh,
2400:d960:400::/40,Reserved for Chandigarh,
2400:d960:500::/40,Reserved for Chandigarh,
2400:d960:600::/40,Reserved for Chandigarh,
2400:d960:700::/40,Reserved for Chandigarh,
2400:d960:800::/40,Delhi,Sliced into /44 per site
2400:d960:900::/40,Reserved for Delhi,
2400:d960:a00::/40,Reserved for Delhi,
2400:d960:b00::/40,Reserved for Delhi,
2400:d960:c00::/40,Reserved for Delhi,
2400:d960:d00::/40,Reserved for Delhi,
2400:d960:e00::/40,Reserved for Delhi,
2400:d960:f00::/40,Reserved for Delhi,
2400:d960:1000::/40,Haryana,Sliced into /44 per site
2400:d960:1100::/40,Reserved for Haryana,
2400:d960:1200::/40,Reserved for Haryana,
2400:d960:1300::/40,Reserved for Haryana,
2400:d960:1400::/40,Reserved for Haryana,
2400:d960:1500::/40,Reserved for Haryana,
2400:d960:1600::/40,Reserved for Haryana,
2400:d960:1700::/40,Reserved for Haryana,
2400:d960:1800::/40,Himachal Pradesh,Sliced into /44 per site
2400:d960:1900::/40,Reserved for Himachal Pradesh,
2400:d960:1a00::/40,Reserved for Himachal Pradesh,
2400:d960:1b00::/40,Reserved for Himachal Pradesh,
2400:d960:1c00::/40,Reserved for Himachal Pradesh,
2400:d960:1d00::/40,Reserved for Himachal Pradesh,
2400:d960:1e00::/40,Reserved for Himachal Pradesh,
2400:d960:1f00::/40,Reserved for Himachal Pradesh,
2400:d960:2000::/40,Jammu & Kashmir,Sliced into /44 per site
2400:d960:2100::/40,Reserved for Jammu & Kashmir,
2400:d960:2200::/40,Reserved for Jammu & Kashmir,
2400:d960:2300::/40,Reserved for Jammu & Kashmir,
2400:d960:2400::/40,Reserved for Jammu & Kashmir,
2400:d960:2500::/40,Reserved for Jammu & Kashmir,
2400:d960:2600::/40,Reserved for Jammu & Kashmir,
2400:d960:2700::/40,Reserved for Jammu & Kashmir,
2400:d960:2800::/40,Punjab,Sliced into /44 per site
2400:d960:2900::/40,Reserved for Punjab,
2400:d960:2a00::/40,Reserved for Punjab,
2400:d960:2b00::/40,Reserved for Punjab,
2400:d960:2c00::/40,Reserved for Punjab,
2400:d960:2d00::/40,Reserved for Punjab,
2400:d960:2e00::/40,Reserved for Punjab,
2400:d960:2f00::/40,Reserved for Punjab,
2400:d960:3000::/40,Uttar Pradesh,Sliced into /44 per site
2400:d960:3100::/40,Reserved for Uttar Pradesh,
2400:d960:3200::/40,Reserved for Uttar Pradesh,
2400:d960:3300::/40,Reserved for Uttar Pradesh,
2400:d960:3400::/40,Reserved for Uttar Pradesh,
2400:d960:3500::/40,Reserved for Uttar Pradesh,
2400:d960:3600::/40,Reserved for Uttar Pradesh,
2400:d960:3700::/40,Reserved for Uttar Pradesh,
2400:d960:3800::/40,Uttarakhand,Sliced into /44 per site
2400:d960:3900::/40,Reserved for Uttarakhand,
2400:d960:3a00::/40,Reserved for Uttarakhand,
2400:d960:3b00::/40,Reserved for Uttarakhand,
2400:d960:3c00::/40,Reserved for Uttarakhand,
2400:d960:3d00::/40,Reserved for Uttarakhand,
2400:d960:3e00::/40,Reserved for Uttarakhand,
2400:d960:3f00::/40,Reserved for Uttarakhand,